X	ECEF_Abd	ECEF_Eye	ECEF_Leg	ECEF_Meso	ECEF_Ovi	ECEF_Pro	ECEF_Wing2	ECEF_Wing3	ECFisC_Abd	ECFisC_Eye	ECFisC_Leg	ECFisC_Meso	ECFisC_Ovi	ECFisC_Pro	ECFisC_Wing2	ECFisC_Wing3	ECty4_Abd	ECty4_Eye	ECty4_Leg	ECty4_Meso	ECty4_Ovi	ECty4_Pro	ECty4_Wing2	ECty4_Wing3	id
ECEF_Meso_TRINITY_DN27467_c0_g1	44.62	55.26	73.07	75.41	38.91	43.25	56.37	67.92	43.31	11.91	3.34	59.26	82.61	42.47	69.46	107.68	49.29	54	57.53	66.3	123.27	23.81	100.43	14.67	ECEF_Meso_TRINITY_DN27467_c0_g1
ECEF_Abd_TRINITY_DN18595_c0_g1	34.19	36.55	39.51	67.1	20.62	76.6	87.21	37.56	96.57	19.9	7.42	52.56	106.33	136.11	79.21	163	23.55	50.68	58.96	85.12	83.99	58.17	145.05	18.72	ECEF_Abd_TRINITY_DN18595_c0_g1
ECEF_Meso_TRINITY_DN15886_c0_g2	3	0	0	7	0	0	0	0	5	0	0	4	2	0	0	0	1	0	3	8	4	0	0	0	ECEF_Meso_TRINITY_DN15886_c0_g2
ECEF_Abd_TRINITY_DN21657_c1_g4	324.58	279.82	445.16	304.12	275.54	171.29	461.25	416.35	223.55	36.73	18	191.25	163.73	59.27	139.74	194.95	215.07	924.52	575.03	755.36	552.82	157.54	925.48	207.17	ECEF_Abd_TRINITY_DN21657_c1_g4
ECEF_Meso_TRINITY_DN27364_c0_g1	732	606	870	1012	402	488	896	782	580	131	55	1059	1121	804	954	1242	662	966	874	1562	1387	257	1568	147	ECEF_Meso_TRINITY_DN27364_c0_g1
ECEF_Eye_TRINITY_DN19824_c0_g5	6	11	11	10	4	4	10	9	0	0	0	0	1	3	3	5	1	0	1	2	0	0	1	1	ECEF_Eye_TRINITY_DN19824_c0_g5
ECEF_Leg_TRINITY_DN20007_c0_g1	447	556	692	639	334	523	932	759	333	89	33	641	944	482	682	912	353	502	425	648	853	106	733	76	ECEF_Leg_TRINITY_DN20007_c0_g1
ECEF_Eye_TRINITY_DN15445_c0_g1	0	6	0	0	0	1	0	0	0	3	0	0	2	0	0	0	1	1	1	0	1	0	0	0	ECEF_Eye_TRINITY_DN15445_c0_g1
ECEF_Abd_TRINITY_DN19632_c0_g1	282.73	196.88	502.9	168.05	80.92	147.1	161.9	146.12	86.29	11.71	10.86	89.89	99.97	38.32	109.01	91.85	193.04	179.86	150.96	149.93	194.09	25.48	100.5	15.71	ECEF_Abd_TRINITY_DN19632_c0_g1
ECEF_Eye_TRINITY_DN14950_c0_g1	306	339	539	549	176	284	556	569	83	47	21	261	409	244	269	450	207	310	272	349	622	43	519	28	ECEF_Eye_TRINITY_DN14950_c0_g1
