X	HV102_Abd	HV102_Eye	HV102_Leg	HV102_Meso	HV102_Ovi	HV102_Pro	HV102_Wing2	HV102_Wing3	HV3a_Abd	HV3a_Eye	HV3a_Leg	HV3a_Meso	HV3a_Ovi	HV3a_Pro	HV3a_Wing2	HV3a_Wing3	HV7_Abd	HV7_Leg	HV7_Meso	HV7_Pro	HV7_Wing2	id
HV102_Wing2_TRINITY_DN22960_c0_g2	1	3	0	5	7	1	11	20	0	7	1	0	2	0	3	4	1	1	3	0	6	HV102_Wing2_TRINITY_DN22960_c0_g2
HV102_Leg_TRINITY_DN20096_c2_g1	9.05	18.35	946.2	64.66	0	632.21	8.5	17.34	17.33	0	565.43	56.8	25.96	119.5	6.88	0	69.1	209.29	49.05	97.43	0	HV102_Leg_TRINITY_DN20096_c2_g1
HV102_Wing3_TRINITY_DN34619_c0_g1	0	0	0	0	2	0	1	3	0	1	2	0	0	0	0	1	0	0	0	0	0	HV102_Wing3_TRINITY_DN34619_c0_g1
HV102_Wing3_TRINITY_DN29830_c0_g1	410.15	152.86	208.7	261.1	375.41	191.62	233.65	274.36	426.62	153.05	92.69	128.48	271.99	64.68	204.97	236.75	487.48	36.23	34.33	46.25	38.9	HV102_Wing3_TRINITY_DN29830_c0_g1
HV102_Wing2_TRINITY_DN26038_c0_g3	48	29	28	11	2	16	45	44	19	28	44	30	15	21	25	60	173	31	103	179	266	HV102_Wing2_TRINITY_DN26038_c0_g3
HV102_Leg_TRINITY_DN19675_c0_g1	34.63	71.02	100.03	96.93	146.16	45.27	119	148.97	163.66	288.78	105.02	90.89	229.27	66.15	169.07	235.69	56.29	27.11	16.29	20.55	41.1	HV102_Leg_TRINITY_DN19675_c0_g1
HV102_Wing3_TRINITY_DN31688_c2_g1	102.63	74.75	230.54	210.99	188.64	67	390.13	562.41	42	65.45	68	109.16	115.5	39	51	147	59.63	8.21	19.05	13	48.37	HV102_Wing3_TRINITY_DN31688_c2_g1
HV102_Leg_TRINITY_DN18609_c0_g1	28.21	16.22	58.59	36.33	31.66	21.79	118.24	163.71	57.77	37.35	40.5	59.98	93.33	39.18	41.96	194.42	66.76	18.54	11.14	11.59	26.74	HV102_Leg_TRINITY_DN18609_c0_g1
HV102_Meso_TRINITY_DN14572_c0_g1	0	1.37	13.57	18.29	7.84	1.4	4.65	11.04	0	2.76	0	1.72	3.16	1.63	1.54	1.35	3.04	0	0	0	3.35	HV102_Meso_TRINITY_DN14572_c0_g1
HV102_Wing2_TRINITY_DN27143_c0_g1	49	91	179	133	256	79	150	196	46	107	67	96	83	32	133	168	55	41	11	32	51	HV102_Wing2_TRINITY_DN27143_c0_g1
HV102_Wing2_TRINITY_DN31085_c1_g1	6.93	10.86	13.01	22.89	13.32	6.03	37.26	30.22	5.91	35.1	15.04	7.93	15.88	7.77	6.35	17.2	6.96	3.3	6.45	2.32	1.33	HV102_Wing2_TRINITY_DN31085_c1_g1
HV102_Wing2_TRINITY_DN24267_c0_g1	73	110	107	126	72	48	328	469	85	327	155	102	195	79	67	214	132	32	35	35	95	HV102_Wing2_TRINITY_DN24267_c0_g1
HV102_Abd_TRINITY_DN18249_c0_g1	1667	1356	4187	3019	3601	2783	2536	3035	3939	1603	2186	1384	1904	1573	1743	1605	2633	1399	601	1027	2037	HV102_Abd_TRINITY_DN18249_c0_g1
HV102_Wing2_TRINITY_DN18704_c0_g1	0	1	0	1	1	0	7	2	0	3	7	0	2	1	4	7	0	0	0	0	0	HV102_Wing2_TRINITY_DN18704_c0_g1
HV102_Wing3_TRINITY_DN18264_c0_g1	9	7	30	10	14	8	26	31	15	34	22	21	23	9	19	21	15	2	4	2	7	HV102_Wing3_TRINITY_DN18264_c0_g1
HV102_Abd_TRINITY_DN9267_c0_g1	7	2	1	3	1	1	6	0	2	5	1	0	3	2	1	1	21	1	0	2	0	HV102_Abd_TRINITY_DN9267_c0_g1
HV102_Wing3_TRINITY_DN30835_c0_g3	17.03	40.83	89.54	95.54	23.6	50.47	35.62	59.8	14.08	39.74	29.81	16.31	12.75	13.03	17.24	14.87	35.65	36.67	9.38	7.8	17.51	HV102_Wing3_TRINITY_DN30835_c0_g3
HV102_Leg_TRINITY_DN17772_c1_g1	87.62	93.96	349.65	255.89	315.72	195.33	630.5	849.52	156.65	108.35	160.19	196.39	232.83	144.08	218.6	545.56	184.36	65.47	61.56	128.68	233.07	HV102_Leg_TRINITY_DN17772_c1_g1
HV102_Ovi_TRINITY_DN20188_c1_g1	188.91	49.98	29.66	95.42	184.38	90.72	7.4	5.52	279.29	38.81	19.74	61.31	109.15	33.82	1.46	9.87	324.24	9.9	19.15	21.2	0	HV102_Ovi_TRINITY_DN20188_c1_g1
HV102_Pro_TRINITY_DN11587_c0_g1	384	506	4594	4450	1798	1759	8330	11985	3083	22	3003	4264	793	1892	2081	6237	737	824	910	1278	542	HV102_Pro_TRINITY_DN11587_c0_g1
HV102_Wing3_TRINITY_DN29402_c0_g3	0	0	3.48	0	0	0	2.19	4.66	0	0	0	0	0	0	0	2	2.38	0	0	0	0.84	HV102_Wing3_TRINITY_DN29402_c0_g3
HV102_Wing3_TRINITY_DN23161_c0_g1	5.3	22.34	27.82	12.83	25.3	13.4	75.36	83.19	0	17.93	1	4	4	0	2.47	7	5.34	3	0	1	1	HV102_Wing3_TRINITY_DN23161_c0_g1
HV102_Wing2_TRINITY_DN24182_c0_g1	263.84	337.77	378.98	580.39	806.2	324.71	579.1	395.87	373.08	295.09	160.35	128.13	387.33	142.2	198.71	257.29	342.43	189.66	25.24	101.26	276.56	HV102_Wing2_TRINITY_DN24182_c0_g1
HV102_Wing2_TRINITY_DN30922_c0_g2	51.43	80.65	53.37	128.12	50.58	34.44	170.49	202.66	78.18	344.35	124.09	109.3	102.29	52.27	79.09	188.63	73.02	20.24	20.6	31.92	31.23	HV102_Wing2_TRINITY_DN30922_c0_g2
HV102_Eye_TRINITY_DN18014_c0_g2	16	35	57	37	32	30	73	84	25	27	30	15	16	19	23	49	32	14	0	4	15	HV102_Eye_TRINITY_DN18014_c0_g2
HV102_Wing2_TRINITY_DN28180_c0_g1	58.73	69.56	149.39	184.23	211.89	115.73	211.97	220.49	78.8	88.09	60.79	106.82	154.62	71.13	221.39	228.78	60	66	18	26	59	HV102_Wing2_TRINITY_DN28180_c0_g1
HV102_Abd_TRINITY_DN16183_c0_g1	76	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	88	0	0	0	0	HV102_Abd_TRINITY_DN16183_c0_g1
HV102_Wing3_TRINITY_DN34961_c0_g1	0	0	2	0	1	1	2	5	0	1	1	0	3	0	0	0	0	2	1	0	1	HV102_Wing3_TRINITY_DN34961_c0_g1
HV102_Wing3_TRINITY_DN33785_c0_g2	164.57	295.89	311.6	263.88	158.8	163.29	377.9	613.49	265.32	391.43	237.74	273.6	318.95	122.04	151	477.48	282.58	64.53	55.71	52	72	HV102_Wing3_TRINITY_DN33785_c0_g2
HV102_Pro_TRINITY_DN17973_c1_g1	11.33	26.09	43.02	25.77	40.72	43.57	65.9	78.6	19.96	65.76	19.43	15.61	25.97	26.25	17.45	38.02	13.18	45.03	5.1	14.48	9.33	HV102_Pro_TRINITY_DN17973_c1_g1
HV102_Leg_TRINITY_DN12690_c0_g1	170	211	502	534	892	390	621	773	279	213	150	207	408	162	525	557	159	135	52	55	221	HV102_Leg_TRINITY_DN12690_c0_g1
HV102_Ovi_TRINITY_DN12316_c0_g1	973	943	2897	2038	2457	1768	2144	2653	2771	1348	1396	1911	2699	892	2303	4724	1528	815	317	495	629	HV102_Ovi_TRINITY_DN12316_c0_g1
HV102_Ovi_TRINITY_DN16154_c0_g1	211	1434	9154	5075	2754	875	12990	8510	1979	777	5374	8703	2465	2554	14120	16560	346	86	158	412	212	HV102_Ovi_TRINITY_DN16154_c0_g1
HV102_Eye_TRINITY_DN20069_c0_g1	20	29	29	17	60	31	31	5	22	36	14	22	13	14	11	17	46	3	0	7	3	HV102_Eye_TRINITY_DN20069_c0_g1
