gene_id	length
ECEF_Abd_TRINITY_DN10007_c0_g1	1148.00
ECEF_Abd_TRINITY_DN10023_c0_g1	463.00
ECEF_Abd_TRINITY_DN10037_c0_g1	425.00
ECEF_Abd_TRINITY_DN10037_c0_g2	554.00
ECEF_Abd_TRINITY_DN10038_c0_g1	1041.00
ECEF_Abd_TRINITY_DN10044_c0_g1	1605.00
ECEF_Abd_TRINITY_DN10046_c0_g1	1211.00
ECEF_Abd_TRINITY_DN10056_c0_g1	1544.00
ECEF_Abd_TRINITY_DN10057_c0_g1	1013.00
ECEF_Abd_TRINITY_DN10064_c0_g1	969.00
ECEF_Abd_TRINITY_DN10095_c0_g1	588.00
ECEF_Abd_TRINITY_DN10119_c0_g2	897.00
ECEF_Abd_TRINITY_DN10148_c0_g1	2349.00
ECEF_Abd_TRINITY_DN10149_c0_g2	857.00
ECEF_Abd_TRINITY_DN10158_c0_g1	622.00
ECEF_Abd_TRINITY_DN1015_c0_g1	835.00
ECEF_Abd_TRINITY_DN10181_c0_g2	466.00
ECEF_Abd_TRINITY_DN10220_c0_g1	802.00
ECEF_Abd_TRINITY_DN10220_c0_g2	824.00
ECEF_Abd_TRINITY_DN10317_c0_g1	680.00
ECEF_Abd_TRINITY_DN10334_c0_g1	1075.00
ECEF_Abd_TRINITY_DN10347_c0_g1	1751.00
ECEF_Abd_TRINITY_DN10371_c0_g1	776.00
ECEF_Abd_TRINITY_DN10385_c0_g1	2106.00
ECEF_Abd_TRINITY_DN10391_c0_g1	866.00
ECEF_Abd_TRINITY_DN10396_c0_g1	422.00
ECEF_Abd_TRINITY_DN10400_c0_g1	684.00
ECEF_Abd_TRINITY_DN10427_c0_g2	1094.00
ECEF_Abd_TRINITY_DN10437_c0_g1	1218.00
ECEF_Abd_TRINITY_DN10461_c0_g1	728.00
ECEF_Abd_TRINITY_DN10487_c0_g1	1150.00
ECEF_Abd_TRINITY_DN10497_c0_g1	601.00
ECEF_Abd_TRINITY_DN10498_c0_g1	1172.00
ECEF_Abd_TRINITY_DN10533_c0_g1	608.00
ECEF_Abd_TRINITY_DN10549_c0_g1	403.00
ECEF_Abd_TRINITY_DN10555_c0_g1	1216.00
ECEF_Abd_TRINITY_DN10566_c0_g1	734.00
ECEF_Abd_TRINITY_DN10568_c0_g1	1636.00
ECEF_Abd_TRINITY_DN10571_c0_g1	451.00
ECEF_Abd_TRINITY_DN10572_c0_g1	573.00
ECEF_Abd_TRINITY_DN10593_c0_g1	1724.00
ECEF_Abd_TRINITY_DN10600_c0_g2	602.00
ECEF_Abd_TRINITY_DN10606_c0_g1	1043.00
ECEF_Abd_TRINITY_DN10610_c0_g1	1326.00
ECEF_Abd_TRINITY_DN1062_c0_g1	688.00
ECEF_Abd_TRINITY_DN10633_c0_g1	569.00
ECEF_Abd_TRINITY_DN10641_c0_g1	722.00
ECEF_Abd_TRINITY_DN10643_c0_g1	736.00
ECEF_Abd_TRINITY_DN10646_c0_g1	817.00
ECEF_Abd_TRINITY_DN10671_c0_g1	840.00
ECEF_Abd_TRINITY_DN10705_c0_g1	1861.00
ECEF_Abd_TRINITY_DN10717_c0_g1	919.00
ECEF_Abd_TRINITY_DN10718_c0_g2	974.00
ECEF_Abd_TRINITY_DN10723_c0_g1	771.00
ECEF_Abd_TRINITY_DN10724_c0_g1	414.00
ECEF_Abd_TRINITY_DN10729_c0_g1	917.00
ECEF_Abd_TRINITY_DN10733_c0_g2	1570.00
ECEF_Abd_TRINITY_DN10735_c0_g1	444.00
ECEF_Abd_TRINITY_DN10745_c0_g1	1407.00
ECEF_Abd_TRINITY_DN10755_c0_g1	588.00
ECEF_Abd_TRINITY_DN10756_c0_g2	507.00
ECEF_Abd_TRINITY_DN10764_c0_g1	3294.00
ECEF_Abd_TRINITY_DN10776_c0_g1	909.00
ECEF_Abd_TRINITY_DN10781_c0_g1	683.00
ECEF_Abd_TRINITY_DN107_c0_g1	767.00
ECEF_Abd_TRINITY_DN10822_c0_g1	2242.00
ECEF_Abd_TRINITY_DN10824_c0_g1	646.00
ECEF_Abd_TRINITY_DN10826_c0_g1	507.00
ECEF_Abd_TRINITY_DN1083_c0_g1	1225.00
ECEF_Abd_TRINITY_DN10896_c0_g1	1299.00
ECEF_Abd_TRINITY_DN10904_c0_g1	1087.00
ECEF_Abd_TRINITY_DN10906_c0_g2	677.00
ECEF_Abd_TRINITY_DN1090_c0_g1	1119.00
ECEF_Abd_TRINITY_DN10918_c0_g1	768.00
ECEF_Abd_TRINITY_DN10935_c0_g1	672.00
ECEF_Abd_TRINITY_DN10943_c0_g1	966.00
ECEF_Abd_TRINITY_DN1099_c0_g1	675.00
ECEF_Abd_TRINITY_DN11011_c0_g1	2797.00
ECEF_Abd_TRINITY_DN11022_c0_g1	466.00
ECEF_Abd_TRINITY_DN11029_c0_g1	439.00
ECEF_Abd_TRINITY_DN11031_c0_g1	939.00
ECEF_Abd_TRINITY_DN11071_c0_g1	639.23
ECEF_Abd_TRINITY_DN11079_c0_g1	545.00
ECEF_Abd_TRINITY_DN11084_c0_g1	573.00
ECEF_Abd_TRINITY_DN11112_c0_g3	654.00
ECEF_Abd_TRINITY_DN11123_c0_g1	938.00
ECEF_Abd_TRINITY_DN11134_c0_g1	861.00
ECEF_Abd_TRINITY_DN11140_c0_g2	724.00
ECEF_Abd_TRINITY_DN11147_c0_g1	882.00
ECEF_Abd_TRINITY_DN11152_c0_g1	598.00
ECEF_Abd_TRINITY_DN11167_c0_g1	1236.00
ECEF_Abd_TRINITY_DN11170_c0_g1	657.00
ECEF_Abd_TRINITY_DN11175_c0_g1	632.00
ECEF_Abd_TRINITY_DN11180_c0_g1	842.00
ECEF_Abd_TRINITY_DN11186_c0_g1	998.00
ECEF_Abd_TRINITY_DN11188_c0_g1	625.00
ECEF_Abd_TRINITY_DN11193_c0_g1	1220.00
ECEF_Abd_TRINITY_DN11212_c0_g1	838.00
ECEF_Abd_TRINITY_DN11231_c0_g1	852.00
ECEF_Abd_TRINITY_DN11239_c0_g1	614.00
ECEF_Abd_TRINITY_DN11242_c0_g1	2139.00
ECEF_Abd_TRINITY_DN11248_c0_g1	458.00
ECEF_Abd_TRINITY_DN11254_c0_g1	952.00
ECEF_Abd_TRINITY_DN11260_c0_g1	688.50
ECEF_Abd_TRINITY_DN11262_c0_g1	1032.00
ECEF_Abd_TRINITY_DN11274_c0_g2	973.00
ECEF_Abd_TRINITY_DN11278_c0_g1	1037.00
ECEF_Abd_TRINITY_DN11279_c0_g2	716.00
ECEF_Abd_TRINITY_DN11289_c0_g1	1514.00
ECEF_Abd_TRINITY_DN11291_c0_g1	412.00
ECEF_Abd_TRINITY_DN112_c0_g1	450.00
ECEF_Abd_TRINITY_DN11311_c0_g1	412.00
ECEF_Abd_TRINITY_DN11342_c0_g1	1136.00
ECEF_Abd_TRINITY_DN11348_c0_g1	1085.00
ECEF_Abd_TRINITY_DN11355_c0_g1	616.00
ECEF_Abd_TRINITY_DN11368_c0_g1	1001.00
ECEF_Abd_TRINITY_DN11374_c0_g1	2060.00
ECEF_Abd_TRINITY_DN11384_c0_g1	1010.00
ECEF_Abd_TRINITY_DN11389_c0_g1	970.00
ECEF_Abd_TRINITY_DN11393_c0_g1	694.00
ECEF_Abd_TRINITY_DN11397_c0_g1	1154.00
ECEF_Abd_TRINITY_DN11400_c0_g1	1913.00
ECEF_Abd_TRINITY_DN11406_c0_g1	1106.00
ECEF_Abd_TRINITY_DN11415_c0_g2	1280.00
ECEF_Abd_TRINITY_DN11424_c0_g1	1369.00
ECEF_Abd_TRINITY_DN11427_c0_g1	601.00
ECEF_Abd_TRINITY_DN11435_c0_g1	892.00
ECEF_Abd_TRINITY_DN11437_c0_g1	944.00
ECEF_Abd_TRINITY_DN11458_c0_g1	1204.00
ECEF_Abd_TRINITY_DN11462_c0_g1	514.00
ECEF_Abd_TRINITY_DN11464_c0_g1	983.00
ECEF_Abd_TRINITY_DN11469_c0_g1	1112.00
ECEF_Abd_TRINITY_DN11470_c0_g1	644.00
ECEF_Abd_TRINITY_DN11472_c0_g1	676.00
ECEF_Abd_TRINITY_DN11482_c0_g1	567.50
ECEF_Abd_TRINITY_DN11489_c0_g1	637.00
ECEF_Abd_TRINITY_DN11497_c0_g1	777.00
ECEF_Abd_TRINITY_DN11498_c0_g1	575.00
ECEF_Abd_TRINITY_DN11510_c0_g1	951.00
ECEF_Abd_TRINITY_DN11511_c0_g1	650.00
ECEF_Abd_TRINITY_DN11513_c0_g1	615.00
ECEF_Abd_TRINITY_DN11523_c0_g1	1891.00
ECEF_Abd_TRINITY_DN11527_c0_g1	488.00
ECEF_Abd_TRINITY_DN11532_c0_g1	2015.00
ECEF_Abd_TRINITY_DN11542_c0_g1	646.00
ECEF_Abd_TRINITY_DN11546_c0_g1	1456.00
ECEF_Abd_TRINITY_DN11547_c0_g1	1540.00
ECEF_Abd_TRINITY_DN11555_c0_g1	1388.00
ECEF_Abd_TRINITY_DN11555_c0_g2	1329.00
ECEF_Abd_TRINITY_DN11556_c0_g1	3895.00
ECEF_Abd_TRINITY_DN11566_c0_g1	656.00
ECEF_Abd_TRINITY_DN11571_c0_g1	1547.00
ECEF_Abd_TRINITY_DN11573_c0_g1	1453.00
ECEF_Abd_TRINITY_DN11576_c0_g1	1616.00
ECEF_Abd_TRINITY_DN11584_c0_g1	1895.00
ECEF_Abd_TRINITY_DN11590_c0_g1	684.00
ECEF_Abd_TRINITY_DN11593_c0_g1	1222.00
ECEF_Abd_TRINITY_DN11604_c0_g1	583.00
ECEF_Abd_TRINITY_DN11605_c0_g1	1411.00
ECEF_Abd_TRINITY_DN11611_c0_g1	638.00
ECEF_Abd_TRINITY_DN11619_c0_g1	673.00
ECEF_Abd_TRINITY_DN11621_c0_g1	691.00
ECEF_Abd_TRINITY_DN11638_c0_g1	727.00
ECEF_Abd_TRINITY_DN11640_c0_g1	691.33
ECEF_Abd_TRINITY_DN11648_c0_g1	1675.00
ECEF_Abd_TRINITY_DN11649_c0_g1	987.00
ECEF_Abd_TRINITY_DN11653_c0_g1	1180.00
ECEF_Abd_TRINITY_DN11655_c0_g1	2005.00
ECEF_Abd_TRINITY_DN11664_c0_g1	1072.00
ECEF_Abd_TRINITY_DN11667_c0_g2	994.00
ECEF_Abd_TRINITY_DN11671_c0_g1	1129.00
ECEF_Abd_TRINITY_DN11674_c0_g1	1086.00
ECEF_Abd_TRINITY_DN11676_c0_g1	918.00
ECEF_Abd_TRINITY_DN11677_c0_g1	937.00
ECEF_Abd_TRINITY_DN11679_c0_g1	1904.00
ECEF_Abd_TRINITY_DN11680_c0_g1	1588.00
ECEF_Abd_TRINITY_DN11682_c0_g1	1484.00
ECEF_Abd_TRINITY_DN11685_c0_g1	1116.00
ECEF_Abd_TRINITY_DN11687_c0_g1	727.00
ECEF_Abd_TRINITY_DN11692_c0_g2	912.00
ECEF_Abd_TRINITY_DN11695_c0_g2	1039.00
ECEF_Abd_TRINITY_DN11707_c0_g1	2397.00
ECEF_Abd_TRINITY_DN11711_c0_g1	1146.00
ECEF_Abd_TRINITY_DN11714_c0_g1	932.00
ECEF_Abd_TRINITY_DN11726_c0_g1	699.00
ECEF_Abd_TRINITY_DN11736_c0_g1	2752.00
ECEF_Abd_TRINITY_DN11747_c0_g1	967.00
ECEF_Abd_TRINITY_DN11748_c0_g1	677.00
ECEF_Abd_TRINITY_DN11770_c0_g1	1577.00
ECEF_Abd_TRINITY_DN11779_c0_g1	1151.00
ECEF_Abd_TRINITY_DN11786_c0_g1	6219.67
ECEF_Abd_TRINITY_DN11818_c0_g1	523.00
ECEF_Abd_TRINITY_DN11828_c0_g1	999.00
ECEF_Abd_TRINITY_DN11831_c0_g1	1393.00
ECEF_Abd_TRINITY_DN11836_c0_g1	772.50
ECEF_Abd_TRINITY_DN11848_c0_g1	455.00
ECEF_Abd_TRINITY_DN11849_c0_g1	926.00
ECEF_Abd_TRINITY_DN11853_c0_g1	1019.00
ECEF_Abd_TRINITY_DN11858_c0_g1	1384.00
ECEF_Abd_TRINITY_DN1185_c0_g1	404.00
ECEF_Abd_TRINITY_DN11863_c0_g1	1418.00
ECEF_Abd_TRINITY_DN11884_c0_g1	544.00
ECEF_Abd_TRINITY_DN11888_c0_g1	701.00
ECEF_Abd_TRINITY_DN11893_c0_g1	927.00
ECEF_Abd_TRINITY_DN11897_c0_g1	1922.00
ECEF_Abd_TRINITY_DN11898_c0_g1	1270.00
ECEF_Abd_TRINITY_DN11900_c0_g1	1448.00
ECEF_Abd_TRINITY_DN11901_c0_g1	748.00
ECEF_Abd_TRINITY_DN11908_c0_g1	807.00
ECEF_Abd_TRINITY_DN11910_c0_g1	1570.00
ECEF_Abd_TRINITY_DN11923_c0_g1	1119.00
ECEF_Abd_TRINITY_DN1192_c0_g1	800.00
ECEF_Abd_TRINITY_DN11930_c0_g1	1137.00
ECEF_Abd_TRINITY_DN11943_c0_g2	404.00
ECEF_Abd_TRINITY_DN11970_c0_g1	1708.00
ECEF_Abd_TRINITY_DN11975_c0_g1	539.00
ECEF_Abd_TRINITY_DN11979_c0_g1	485.00
ECEF_Abd_TRINITY_DN11988_c0_g1	997.00
ECEF_Abd_TRINITY_DN11991_c0_g1	1173.00
ECEF_Abd_TRINITY_DN11996_c0_g1	1092.00
ECEF_Abd_TRINITY_DN12001_c0_g1	1366.00
ECEF_Abd_TRINITY_DN12011_c0_g1	584.00
ECEF_Abd_TRINITY_DN12029_c0_g1	1117.00
ECEF_Abd_TRINITY_DN12034_c0_g1	888.00
ECEF_Abd_TRINITY_DN12039_c0_g1	741.00
ECEF_Abd_TRINITY_DN12044_c0_g1	1485.00
ECEF_Abd_TRINITY_DN12046_c0_g1	854.00
ECEF_Abd_TRINITY_DN12048_c0_g2	1389.00
ECEF_Abd_TRINITY_DN12054_c0_g1	2348.00
ECEF_Abd_TRINITY_DN12076_c0_g1	1364.00
ECEF_Abd_TRINITY_DN12078_c0_g1	1745.00
ECEF_Abd_TRINITY_DN12080_c0_g1	1276.00
ECEF_Abd_TRINITY_DN12082_c0_g1	1684.00
ECEF_Abd_TRINITY_DN12086_c0_g1	1024.00
ECEF_Abd_TRINITY_DN12087_c0_g1	1417.00
ECEF_Abd_TRINITY_DN12090_c0_g1	1211.00
ECEF_Abd_TRINITY_DN12115_c0_g3	582.00
ECEF_Abd_TRINITY_DN1213_c0_g1	1354.00
ECEF_Abd_TRINITY_DN12142_c0_g1	1529.00
ECEF_Abd_TRINITY_DN12143_c0_g1	2034.00
ECEF_Abd_TRINITY_DN12145_c0_g1	1359.00
ECEF_Abd_TRINITY_DN12166_c0_g1	700.00
ECEF_Abd_TRINITY_DN12174_c0_g1	976.00
ECEF_Abd_TRINITY_DN12192_c0_g1	1443.00
ECEF_Abd_TRINITY_DN12196_c0_g1	869.00
ECEF_Abd_TRINITY_DN12212_c0_g1	1703.00
ECEF_Abd_TRINITY_DN12215_c0_g1	902.00
ECEF_Abd_TRINITY_DN12217_c0_g1	866.00
ECEF_Abd_TRINITY_DN12218_c0_g1	562.00
ECEF_Abd_TRINITY_DN12225_c0_g1	706.00
ECEF_Abd_TRINITY_DN12230_c0_g1	1082.00
ECEF_Abd_TRINITY_DN12232_c0_g2	639.00
ECEF_Abd_TRINITY_DN12251_c0_g1	806.00
ECEF_Abd_TRINITY_DN12252_c0_g1	901.00
ECEF_Abd_TRINITY_DN12270_c0_g1	770.00
ECEF_Abd_TRINITY_DN12278_c0_g1	4315.00
ECEF_Abd_TRINITY_DN12283_c0_g1	876.00
ECEF_Abd_TRINITY_DN12283_c0_g2	897.00
ECEF_Abd_TRINITY_DN12284_c0_g1	905.00
ECEF_Abd_TRINITY_DN12285_c0_g1	2396.00
ECEF_Abd_TRINITY_DN12293_c0_g1	898.00
ECEF_Abd_TRINITY_DN12293_c1_g1	1292.00
ECEF_Abd_TRINITY_DN12294_c0_g1	904.00
ECEF_Abd_TRINITY_DN12295_c0_g1	899.00
