gene.order	gene.name	Entylia	Homalodisca
1 	apterous a	ECEF_Abd_TRINITY_DN21391_c1_g2	HV102_Abd_TRINITY_DN15582_c0_g1
2 	ara-caup-1	ECEF_Leg_TRINITY_DN20415_c0_g1	HV102_Wing2_TRINITY_DN30205_c2_g3
3 	ara-caup-2	ECEF_Pro_TRINITY_DN23458_c0_g1	HV102_Abd_TRINITY_DN21849_c0_g1
4 	Distal-less	ECEF_Leg_TRINITY_DN18062_c0_g1	HV102_Leg_TRINITY_DN17912_c0_g1
5 	engrailed	ECEF_Pro_TRINITY_DN23915_c2_g1	HV102_Meso_TRINITY_DN15783_c0_g1
6 	four-jointed	ECEF_Pro_TRINITY_DN22154_c1_g1	HV102_Ovi_TRINITY_DN13942_c0_g1
7 	frizzled-like	ECEF_Abd_TRINITY_DN18125_c0_g1	HV102_Meso_TRINITY_DN18120_c0_g1
8 	grainy head iso. A	ECEF_Pro_TRINITY_DN23201_c0_g1	HV102_Meso_TRINITY_DN20168_c0_g1
9 	grainy head iso. B	ECEF_Abd_TRINITY_DN22039_c0_g1	HV102_Leg_TRINITY_DN20894_c0_g1
10	miniature	ECEF_Wing3_TRINITY_DN27385_c0_g1	HV102_Wing3_TRINITY_DN28832_c2_g2
11	mirror	ECEF_Abd_TRINITY_DN20001_c0_g1	HV102_Meso_TRINITY_DN19892_c1_g2
12	nubbin	ECEF_Pro_TRINITY_DN18827_c0_g1	HV102_Wing3_TRINITY_DN33568_c0_g1
13	optomotor-blind	ECEF_Leg_TRINITY_DN19449_c0_g1	HV102_Ovi_TRINITY_DN16153_c1_g1
14	pangolin	ECEF_Eye_TRINITY_DN21520_c0_g2	HV102_Leg_TRINITY_DN13373_c0_g1
15	pannier	ECEF_Abd_TRINITY_DN20906_c1_g3	HV102_Abd_TRINITY_DN18890_c0_g1
16	rotund iso. A	ECEF_Eye_TRINITY_DN23855_c0_g1	HV102_Abd_TRINITY_DN20180_c0_g1
17	rotund iso. B	ECEF_Wing2_TRINITY_DN25108_c0_g2	HV102_Ovi_TRINITY_DN19368_c0_g1
18	serum response factor	ECEF_Leg_TRINITY_DN20191_c0_g1	HV102_Meso_TRINITY_DN17951_c0_g1
19	spalt major	ECEF_Leg_TRINITY_DN16942_c0_g1	HV102_Meso_TRINITY_DN15588_c0_g1
20	u-shaped	ECEF_Leg_TRINITY_DN21668_c0_g1	HV102_Wing2_TRINITY_DN26420_c1_g2
21	ventral veins lacking	ECEF_Abd_TRINITY_DN20071_c0_g1	HV102_Abd_TRINITY_DN21560_c0_g1
22	vestigial	ECEF_Ovi_TRINITY_DN5341_c0_g1	HV102_Wing3_TRINITY_DN32678_c1_g2
23	wingless	ECEF_Eye_TRINITY_DN17804_c0_g1	HV102_Leg_TRINITY_DN16063_c0_g1
